left_column,right_column,left_value,right_value,rows
corrected_route,route,30,10,9499
Route_vhist,route,30,10,7674
corrected_route,route,15,32,7081
corrected_route,route,90,30,6515
corrected_route,route,30,17,6452
corrected_route,route,30,40,5532
Route_vhist,route,30,40,4991
corrected_route,route,14,11,4983
Route_vhist,route,90,30,4674
Route_vhist,route,30,17,4473
Route_vhist,route,15,32,4192
corrected_route,route,11,14,4183
corrected_route,route,32,15,3814
corrected_route,route,92,81,2313
corrected_route,route,30,43,2210
Route_vhist,route,11,14,2026
corrected_route,route,81,20,2016
Route_vhist,route,14,11,1923
Route_vhist,route,92,81,1660
corrected_route,route,32,17,1587
corrected_route,route,10,17,1557
corrected_route,route,90,52,1495
corrected_route,route,51,17,1451
corrected_route,route,82,43,1403
Route_vhist,route,32,15,1397
corrected_route,route,82,65,1285
corrected_route,route,10,67,1219
Route_vhist,route,30,43,1163
corrected_route,route,82,17,1153
Route_vhist,route,82,43,1151
Route_vhist,route,82,65,1148
corrected_route,route,32,37,1144
Route_vhist,route,90,52,1034
Route_vhist,route,10,67,1017
corrected_route,route,43,14,927
corrected_route,route,90,10,896
Route_vhist,route,10,17,894
corrected_route,route,10,43,878
corrected_route,route,43,67,868
corrected_route,route,37,43,815
corrected_route,route,90,11,783
Route_vhist,route,90,40,761
corrected_route,route,90,40,761
corrected_route,route,81,17,758
corrected_route,route,32,36,747
corrected_route,route,11,30,729
corrected_route,route,10,65,691
corrected_route,route,30,21,686
Route_vhist,route,32,36,683
corrected_route,route,37,52,673
corrected_route,route,40,30,652
corrected_route,route,15,17,647
Route_vhist,route,90,11,635
corrected_route,route,11,10,612
corrected_route,route,21,43,609
Route_vhist,route,81,20,604
corrected_route,route,81,31,582
corrected_route,route,30,51,579
corrected_route,route,81,32,574
Route_vhist,route,32,37,554
corrected_route,route,11,17,554
corrected_route,route,15,11,553
corrected_route,route,37,14,545
corrected_route,route,10,81,544
Route_vhist,route,10,43,544
corrected_route,route,17,30,541
corrected_route,route,92,52,533
Route_vhist,route,90,10,528
corrected_route,route,37,36,525
Route_vhist,route,82,17,518
corrected_route,route,30,81,516
Route_vhist,route,11,30,511
Route_vhist,route,10,65,503
Route_vhist,route,81,17,495
corrected_route,route,14,17,492
corrected_route,route,21,30,488
Route_vhist,route,15,11,482
Route_vhist,route,37,52,477
corrected_route,route,37,10,475
corrected_route,route,10,30,474
Route_vhist,route,43,14,467
Route_vhist,route,32,17,462
corrected_route,route,92,32,456
corrected_route,route,30,11,434
corrected_route,route,32,30,425
Route_vhist,route,37,30,425
corrected_route,route,11,15,422
corrected_route,route,37,30,416
corrected_route,route,21,65,410
corrected_route,route,67,43,404
corrected_route,route,51,11,396
Route_vhist,route,40,30,389
Route_vhist,route,30,51,369
Route_vhist,route,81,30,352
corrected_route,route,81,30,352
Route_vhist,route,51,17,351
Route_vhist,route,32,30,349
Route_vhist,route,32,10,333
corrected_route,route,32,10,333
corrected_route,route,52,10,327
corrected_route,route,21,82,322
corrected_route,route,14,10,321
corrected_route,route,30,32,320
corrected_route,route,30,37,318
Route_vhist,route,37,14,313
Route_vhist,route,51,40,313
corrected_route,route,51,40,313
Route_vhist,route,90,31,312
Route_vhist,route,21,82,312
corrected_route,route,90,31,312
corrected_route,route,67,14,308
corrected_route,route,30,52,300
Route_vhist,route,82,30,296
corrected_route,route,82,30,296
corrected_route,route,65,30,291
Route_vhist,route,30,11,287
corrected_route,route,82,21,287
Route_vhist,route,11,10,281
corrected_route,route,81,21,278
corrected_route,route,43,14S,276
Route_vhist,route,15,17,274
corrected_route,route,92,82,270
Route_vhist,route,92,82,270
Route_vhist,route,21,30,270
corrected_route,route,30,36,263
corrected_route,route,10,21,255
corrected_route,route,11,13,254
corrected_route,route,37,17,248
Route_vhist,route,10,30,242
corrected_route,route,21,37,239
corrected_route,route,15,37,239
Route_vhist,route,21,65,237
corrected_route,route,52,30,233
Route_vhist,route,30,81,231
corrected_route,route,14S,14,228
corrected_route,route,32,67,226
Route_vhist,route,51,65,226
corrected_route,route,51,65,219
Route_vhist,route,32,67,217
corrected_route,route,15,36,216
Route_vhist,route,65,30,213
corrected_route,route,52,32,210
Route_vhist,route,37,43,209
Route_vhist,route,11,13,209
Route_vhist,route,52,10,209
Route_vhist,route,11,17,208
Route_vhist,route,21,43,207
corrected_route,route,90,81,206
Route_vhist,route,81,10,201
corrected_route,route,92,90,200
Route_vhist,route,43,67,198
corrected_route,route,32,65,197
corrected_route,route,36,52,196
corrected_route,route,67,10,192
corrected_route,route,43,30,191
corrected_route,route,81,10,188
corrected_route,route,43,17,187
Route_vhist,route,37,36,186
Route_vhist,route,15,36,185
corrected_route,route,43,36,183
corrected_route,route,11,51,180
Route_vhist,route,14S,52,180
Route_vhist,route,11,32,180
corrected_route,route,43,52,177
Route_vhist,route,30,37,175
corrected_route,route,32,81,172
corrected_route,route,52,43,170
corrected_route,route,32,14,167
Route_vhist,route,36,52,164
Route_vhist,route,14,10,163
corrected_route,route,92,10,158
Route_vhist,route,92,10,158
Route_vhist,route,43,52,157
corrected_route,route,65,21,157
corrected_route,route,11,32,154
corrected_route,route,37,21,153
Route_vhist,route,14S,14,153
Route_vhist,route,43,36,150
corrected_route,route,52,17,150
corrected_route,route,21,52,149
Route_vhist,route,17,10,146
corrected_route,route,30,65,144
Route_vhist,route,30,65,144
corrected_route,route,21,14S,144
Route_vhist,route,52,43,143
corrected_route,route,36,30,138
corrected_route,route,43,10,138
Route_vhist,route,43,17,137
corrected_route,route,67,82,133
corrected_route,route,43,81,133
Route_vhist,route,30,32,129
corrected_route,route,21,17,127
corrected_route,route,10,36,127
Route_vhist,route,36,43,125
Route_vhist,route,67,14,125
corrected_route,route,14S,52,124
corrected_route,route,14,13,124
Route_vhist,route,17,30,122
corrected_route,route,14,30,122
Route_vhist,route,14,30,120
corrected_route,route,40,10,120
Route_vhist,route,67,43,120
corrected_route,route,43,32,118
Route_vhist,route,40,10,118
Route_vhist,route,36,17,118
Route_vhist,route,52,17,118
corrected_route,route,30,14S,118
corrected_route,route,31,17,117
Route_vhist,route,14,17,117
Route_vhist,route,65,21,115
Route_vhist,route,52,30,115
corrected_route,route,67,32,114
corrected_route,route,92,30,114
Route_vhist,route,81,32,111
corrected_route,route,43,37,111
Route_vhist,route,21,37,110
Route_vhist,route,43,30,108
Route_vhist,route,37,40,108
corrected_route,route,37,40,108
Route_vhist,route,15,37,107
Route_vhist,route,10,36,106
Route_vhist,route,15,10,105
corrected_route,route,15,10,105
Route_vhist,route,32,81,105
Route_vhist,route,37,51,104
corrected_route,route,37,51,104
Route_vhist,route,30,36,102
Route_vhist,route,30,13,101
corrected_route,route,30,13,101
Route_vhist,route,10,81,100
Route_vhist,route,37,21,100
Route_vhist,route,21,52,99
corrected_route,route,10,32,97
corrected_route,route,17,10,97
corrected_route,route,37,11,95
corrected_route,route,90,32,94
corrected_route,route,30,82,94
Route_vhist,route,31,20,94
Route_vhist,route,30,82,94
corrected_route,route,31,20,94
Route_vhist,route,81,51,93
Route_vhist,route,51,11,93
corrected_route,route,51,43,93
corrected_route,route,30,90,93
corrected_route,route,81,51,93
Route_vhist,route,30,52,88
corrected_route,route,81,40,88
Route_vhist,route,15,43,87
corrected_route,route,15,43,87
Route_vhist,route,81,40,87
corrected_route,route,30,14,85
corrected_route,route,36,43,84
corrected_route,route,14S,37,83
Route_vhist,route,37,17,83
Route_vhist,route,30,21,83
Route_vhist,route,11,15,82
Route_vhist,route,32,11,81
Route_vhist,route,37,10,80
corrected_route,route,17,43,79
Route_vhist,route,15,67,79
corrected_route,route,82,36,78
Route_vhist,route,43,21,77
Route_vhist,route,43,37,75
Route_vhist,route,32,43,74
Route_vhist,route,21,17,72
corrected_route,route,37,67,69
corrected_route,route,32,11,68
Route_vhist,route,81,65,66
corrected_route,route,31,65,65
Route_vhist,route,43,81,64
Route_vhist,route,14S,17,63
Route_vhist,route,81,43,63
Route_vhist,route,14,13,62
corrected_route,route,43,21,60
corrected_route,route,40,21,60
corrected_route,route,31,30,59
corrected_route,route,43,11,58
Route_vhist,route,20,51,56
corrected_route,route,67,17,55
Route_vhist,route,43,10,55
Route_vhist,route,30,90,55
Route_vhist,route,32,21,54
corrected_route,route,40,17,54
Route_vhist,route,67,10,53
corrected_route,route,67,36,53
corrected_route,route,81,43,52
Route_vhist,route,52,32,51
Route_vhist,route,11,90,51
Route_vhist,route,40,21,48
corrected_route,route,65,10,48
corrected_route,route,15,65,48
corrected_route,route,52,37,47
Route_vhist,route,32,14,47
corrected_route,route,20,51,46
Route_vhist,route,65,40,46
Route_vhist,route,21,40,46
Route_vhist,route,43,32,46
corrected_route,route,11,36,45
Route_vhist,route,11,36,45
corrected_route,route,14S,36,45
Route_vhist,route,31,17,45
corrected_route,route,11,52,44
Route_vhist,route,11,52,44
corrected_route,route,21,40,44
corrected_route,route,65,40,43
corrected_route,route,20,17,42
Route_vhist,route,51,43,42
Route_vhist,route,30,14,42
Route_vhist,route,15,21,42
Route_vhist,route,90,51,41
Route_vhist,route,82,15,41
Route_vhist,route,81,37,40
Route_vhist,route,67,17,40
Route_vhist,route,82,67,39
corrected_route,route,90,21,39
Route_vhist,route,32,65,38
Route_vhist,route,21,14,37
Route_vhist,route,13,31,37
Route_vhist,route,67,82,37
Route_vhist,route,43,14S,37
Route_vhist,route,82,21,36
Route_vhist,route,14S,37,35
Route_vhist,route,40,17,35
Route_vhist,route,92,30,35
Route_vhist,route,37,11,35
Route_vhist,route,65,52,34
Route_vhist,route,52,37,33
Route_vhist,route,51,14,33
Route_vhist,route,13,52,32
Route_vhist,route,67,21,32
corrected_route,route,13,52,32
Route_vhist,route,15,81,32
corrected_route,route,65,17,30
Route_vhist,route,67,52,30
corrected_route,route,65,52,29
Route_vhist,route,65,37,29
corrected_route,route,43,15,29
corrected_route,route,14S,17,29
Route_vhist,route,21,36,29
corrected_route,route,21,36,29
Route_vhist,route,20,65,28
Route_vhist,route,67,36,26
Route_vhist,route,36,30,26
corrected_route,route,65,37,25
Route_vhist,route,21,14S,25
Route_vhist,route,37,32,25
corrected_route,route,20,40,24
corrected_route,route,52,90,23
corrected_route,route,67,52,23
corrected_route,route,13,15,22
Route_vhist,route,13,15,22
Route_vhist,route,65,17,22
Route_vhist,route,30,31,21
Route_vhist,route,51,36,21
corrected_route,route,67,37,21
corrected_route,route,40,32,20
Route_vhist,route,20,11,20
Route_vhist,route,10,32,20
corrected_route,route,20,11,20
corrected_route,route,67,21,19
Route_vhist,route,51,30,18
corrected_route,route,20,30,18
Route_vhist,route,52,40,18
Route_vhist,route,11,81,18
Route_vhist,route,52,13,18
Route_vhist,route,36,67,17
Route_vhist,route,37,20,17
corrected_route,route,67,11,16
Route_vhist,route,67,11,16
Route_vhist,route,43,20,16
Route_vhist,route,40,13,16
Route_vhist,route,11,31,15
Route_vhist,route,67,30,15
Route_vhist,route,14,32,14
Route_vhist,route,43,11,13
Route_vhist,route,14,36,13
Route_vhist,route,14,31,12
Route_vhist,route,36,31,12
Route_vhist,route,20,17,12
Route_vhist,route,43,51,11
corrected_route,route,36,17,11
Route_vhist,route,20,21,11
corrected_route,route,20,21,11
corrected_route,route,17,32,11
corrected_route,route,43,51,11
Route_vhist,route,67,32,10
corrected_route,route,11,90,10
corrected_route,route,14S,43,10
Route_vhist,route,17,51,9
Route_vhist,route,52,21,9
Route_vhist,route,51,10,9
Route_vhist,route,40,43,9
Route_vhist,route,40,32,9
Route_vhist,route,36,10,8
Route_vhist,route,52,65,7
Route_vhist,route,65,36,6
Route_vhist,route,67,20,6
Route_vhist,route,52,11,6
Route_vhist,route,36,13,6
Route_vhist,route,90,92,5
Route_vhist,route,81,13,5
Route_vhist,route,67,37,4
Route_vhist,route,17,32,4
Route_vhist,route,52,67,4
Route_vhist,route,52,90,4
Route_vhist,route,43,40,4
Route_vhist,route,13,30,3
Route_vhist,route,17,82,3
Route_vhist,route,20,37,3
Route_vhist,route,65,43,3
Route_vhist,route,32,40,2
Route_vhist,route,14,43,2
Route_vhist,route,13,43,2
Route_vhist,route,36,37,1
Route_vhist,route,52,36,1
Route_vhist,route,65,81,1
Route_vhist,route,37,15,1
