source_month,normalized_route_source,rows
01,Route_vhist_normalized,186647
01,corrected_route_gtfs_route,20730
01,excluded_text_removed,117
01,unresolved_corrected_route_is_gtfs_stop_id,373
01,unresolved_corrected_route_not_in_gtfs,2771
01,unresolved_through_run_dropped,28
02,Route_vhist_normalized,270325
02,corrected_route_gtfs_route,44156
02,excluded_text_removed,96
02,unresolved_corrected_route_is_gtfs_stop_id,1093
02,unresolved_corrected_route_not_in_gtfs,2768
02,unresolved_through_run_dropped,29
03,Route_vhist_normalized,272052
03,corrected_route_gtfs_route,60872
03,excluded_text_removed,149
03,unresolved_corrected_route_is_gtfs_stop_id,1054
03,unresolved_corrected_route_not_in_gtfs,4434
03,unresolved_through_run_dropped,292
04,Route_vhist_normalized,260323
04,corrected_route_gtfs_route,51147
04,excluded_text_removed,195
04,unresolved_corrected_route_is_gtfs_stop_id,513
04,unresolved_corrected_route_not_in_gtfs,1391
04,unresolved_through_run_dropped,74
05,Route_vhist_normalized,187277
05,corrected_route_gtfs_route,41677
05,excluded_text_removed,121
05,unresolved_corrected_route_is_gtfs_stop_id,466
05,unresolved_corrected_route_not_in_gtfs,8687
05,unresolved_through_run_dropped,304
06,Route_vhist_normalized,94360
06,corrected_route_gtfs_route,33875
06,excluded_text_removed,123
06,unresolved_corrected_route_is_gtfs_stop_id,100
06,unresolved_corrected_route_not_in_gtfs,2331
06,unresolved_through_run_dropped,7
07,Route_vhist_normalized,111769
07,corrected_route_gtfs_route,32542
07,excluded_text_removed,88
07,unresolved_corrected_route_is_gtfs_stop_id,40
07,unresolved_corrected_route_not_in_gtfs,749
07,unresolved_through_run_dropped,45
08,Route_vhist_normalized,218040
08,corrected_route_gtfs_route,45114
08,excluded_text_removed,112
08,unresolved_corrected_route_is_gtfs_stop_id,9
08,unresolved_corrected_route_not_in_gtfs,1643
08,unresolved_through_run_dropped,12
09,Route_vhist_normalized,266523
09,corrected_route_gtfs_route,23814
09,excluded_text_removed,76
09,unresolved_corrected_route_not_in_gtfs,161
09,unresolved_through_run_dropped,25
10,Route_vhist_normalized,357256
10,corrected_route_gtfs_route,32445
10,excluded_text_removed,87
10,unresolved_corrected_route_not_in_gtfs,263
10,unresolved_through_run_dropped,23
11,Route_vhist_normalized,310533
11,corrected_route_gtfs_route,15645
11,excluded_text_removed,54
11,unresolved_corrected_route_not_in_gtfs,845
11,unresolved_through_run_dropped,21
12,Route_vhist_normalized,226754
12,corrected_route_gtfs_route,11062
12,excluded_text_removed,91
12,unresolved_corrected_route_not_in_gtfs,345
12,unresolved_through_run_dropped,72
