route_clean,stop_id_clean,canonical_stop_name,boards,rows,pre_boards,post_boards,pre_cornell_card_rows,pre_rows,post_rows,pre_cornell_card_share,has_balanced_near6_sample,route_stop_group
11,165,Green Commons,7409,7409,3409,4000,132,3409,4000,0.03872103256086829,True,control_low_cornell_route_stop
43,165,Green Commons,7154,7154,4821,2333,416,4821,2333,0.08628915162829288,True,control_low_cornell_route_stop
14,165,Green Commons,6884,6884,3790,3094,189,3790,3094,0.04986807387862797,True,control_low_cornell_route_stop
11,339,Roy Park IC,3033,3033,2245,788,15,2245,788,0.0066815144766146995,True,control_low_cornell_route_stop
21,100,Seneca Commons,2969,2969,2103,866,211,2103,866,0.10033285782215882,True,control_low_cornell_route_stop
43,4783,TC3,2691,2691,2348,343,27,2348,343,0.011499148211243612,True,control_low_cornell_route_stop
11,340,Roy Park IC,2606,2606,1563,1043,1,1563,1043,0.0006397952655150352,True,control_low_cornell_route_stop
52,165,Green Commons,2559,2559,1277,1282,127,1277,1282,0.09945184025058731,True,control_low_cornell_route_stop
13,165,Green Commons,2421,2421,1537,884,15,1537,884,0.009759271307742356,True,control_low_cornell_route_stop
37,165,Green Commons,2317,2317,1478,839,219,1478,839,0.14817320703653586,True,control_low_cornell_route_stop
11,349,Towers IC,2155,2155,1390,765,10,1390,765,0.007194244604316547,True,control_low_cornell_route_stop
11,337,Ithaca College,1784,1784,1161,623,4,1161,623,0.0034453057708871662,True,control_low_cornell_route_stop
14,2545,Cayuga Med ER,1589,1589,1195,394,112,1195,394,0.09372384937238494,True,control_low_cornell_route_stop
13,100,Seneca Commons,1394,1394,1034,360,58,1034,360,0.05609284332688588,True,control_low_cornell_route_stop
14,664,State @ Meadow,1309,1309,658,651,13,658,651,0.019756838905775075,True,control_low_cornell_route_stop
32,3785,Airport,1219,1219,892,327,112,892,327,0.12556053811659193,True,control_low_cornell_route_stop
14,679,State/MLK at In,1128,1128,474,654,18,474,654,0.0379746835443038,True,control_low_cornell_route_stop
11,351,Ithaca College,1003,1003,767,236,1,767,236,0.001303780964797914,True,control_low_cornell_route_stop
14,709,Chestnut @ Elm,948,948,890,58,10,890,58,0.011235955056179775,True,control_low_cornell_route_stop
14,713,Elm @ W Vill,946,946,679,267,18,679,267,0.026509572901325478,True,control_low_cornell_route_stop
14,112,Albany at Salva,832,832,555,277,36,555,277,0.06486486486486487,True,control_low_cornell_route_stop
15,535,Titus Towers,810,810,687,123,59,687,123,0.0858806404657933,True,control_low_cornell_route_stop
11,342,Alumni Circ IC,710,710,520,190,1,520,190,0.0019230769230769232,True,control_low_cornell_route_stop
14,2542,Overlook Apts,681,681,501,180,4,501,180,0.007984031936127744,True,control_low_cornell_route_stop
13,1125,Lake @ IHS,640,640,536,104,19,536,104,0.03544776119402985,True,control_low_cornell_route_stop
11,372,College Circle,564,564,243,321,0,243,321,0.0,True,control_low_cornell_route_stop
11,338,Ithaca College,503,503,169,334,0,169,334,0.0,True,control_low_cornell_route_stop
43,4718,Dryden Vill Lib,503,503,426,77,41,426,77,0.09624413145539906,True,control_low_cornell_route_stop
67,564,Elmira Rd @ Wal,503,503,345,158,4,345,158,0.011594202898550725,True,control_low_cornell_route_stop
21,676,Buffalo @ Taugh,493,493,424,69,8,424,69,0.018867924528301886,True,control_low_cornell_route_stop
14,2546,Cayuga Med Ctr,463,463,329,134,16,329,134,0.0486322188449848,True,control_low_cornell_route_stop
11,373,College Circle,452,452,269,183,1,269,183,0.0037174721189591076,True,control_low_cornell_route_stop
67,532,Meadow @ Wood,450,450,270,180,24,270,180,0.08888888888888889,True,control_low_cornell_route_stop
14,2543,Cayuga Meadows,389,389,96,293,0,96,293,0.0,True,control_low_cornell_route_stop
11,374,College Circle,363,363,232,131,1,232,131,0.004310344827586207,True,control_low_cornell_route_stop
11,343,Alumni Circ IC,356,356,244,112,7,244,112,0.028688524590163935,True,control_low_cornell_route_stop
14,669,State/MLK @ Inl,305,305,193,112,7,193,112,0.03626943005181347,True,control_low_cornell_route_stop
11,376,College Circle,299,299,159,140,0,159,140,0.0,True,control_low_cornell_route_stop
