stop_id_clean,canonical_stop_name,canonical_name_rows,stop_name_variant_count,total_named_rows,stop_name_examples
1512,Baker Flag Slop,15656,4,17678,Baker Flag Slop | BakerFlag Slope | Baker Flagpole | Baker Flag NB
4318,Freeville Stn P,239,4,363,Freeville Stn P | Stn Pk Freevill | Station Park | Station Park -
4328,RR@Main (Fville,10,4,25,RR@Main (Fville | RR@Main Fville | Railroad@Main | Railroad @ Main
165,Green Commons,300041,3,338068,Green Commons | Commons-GreenSt | Ithaca Commons
100,Seneca Commons,121077,3,138049,Seneca Commons | Commons-Seneca | Ithaca Commons
1524,Goldwin Smith,58783,3,68041,Goldwin Smith | GoldwinSmithHl | Goldwin Smith H
1716,Schwartz CPA,49224,3,55578,Schwartz CPA | SchwrtzPrfArCtr | Schwartz Perfor
1344,RPCC,48532,3,54988,RPCC | RPCC-Jessup | Robert Purcell
1343,RPCC,30924,3,35523,RPCC | RPCC-Jessup | Robert Purcell
1530,Anabel Taylor H,31387,3,34641,Anabel Taylor H | Anab Taylr Hall | Anabel Taylor
1754,Maplewood Apts,30059,3,34228,Maplewood Apts | Maplewd Apts | Maple @ Veteran
1346,Jess@PleasGrove,25684,3,29397,Jess@PleasGrove | Jessup@PleasGrv | Jessup @ Pleasa
1353,A Lot,23594,3,27319,A Lot | A Lot-LowerStop | A Lot - Lower S
1774,E Hill Plaza,22735,3,26111,E Hill Plaza | EHP | East Hill Plaza
1543,Corson/Mudd Hal,23487,3,25931,Corson/Mudd Hal | Corson-Mudd | Corson/Mudd
1715,CTown Crossing,22825,3,25889,CTown Crossing | Collegtwn Crsng | Collegetown Cro
1345,Jess@PleasGrove,20194,3,22947,Jess@PleasGrove | Jessup@PleasGrv | Jessup @ Pleasa
172,Aurora Commons,15587,3,17441,Aurora Commons | Commons-Aurora | Ithaca Commons
1513,Baker Flag,11442,3,13065,Baker Flag | Baker Flagpole | Baker Flag SB
1553,Boyce Thomp,10674,3,11977,Boyce Thomp | BTI | Boyce Thompson
3712,PleasGrove@Hans,10237,3,11810,PleasGrove@Hans | PlstGrv@Hanshaw | Pleasant Grove
349,Towers IC,8076,3,8861,Towers IC | IC-TheTowers | Ithaca College
339,Roy Park IC,7126,3,8075,Roy Park IC | IC-RoyParkSchoo | Ithaca College
713,Elm @ W Vill,4978,3,5666,Elm @ W Vill | Elm@WVillage | Elm @ West Vill
340,Roy Park IC,4781,3,5462,Roy Park IC | IC-RoyParkSchoo | Ithaca College
4718,Dryden Vill Lib,3790,3,4432,Dryden Vill Lib | DrydnVilMainLib | Dryden Village
2545,Cayuga Med ER,3831,3,4054,Cayuga Med ER | CayugaMedER | Cayuga Medical
3557,Univ Pk Apts,3654,3,4052,Univ Pk Apts | UniversityPkApt | University Park
1508,University @ St,3197,3,3488,University @ St | Univ@Stewart | Univ @ Stewart
664,State @ Meadow,2739,3,3082,State @ Meadow | State@Meadow | State/MLK @ Mea
3765,Vill Solars N,2263,3,2643,Vill Solars N | VillageSolarN | Village Solars
1767,PineTree @ EHP,2400,3,2628,PineTree @ EHP | Pine Tr@E Hil P | Pine Tree at Ea
1771,E Hill Office,2227,3,2517,E Hill Office | EHOB | East Hill Offic
715,W Vill Parking,2094,3,2451,W Vill Parking | West Village | West Village Pa
1125,Lake @ IHS,2136,3,2385,Lake @ IHS | Lake St@IHS | Lake St at Itha
1368,Triphammer @ Ir,1791,3,2020,Triphammer @ Ir | Triphamr@Irqois | Tripham @ Iroq
996,Guthrie Cty Har,1794,3,1886,Guthrie Cty Har | GuthrieCityHarb | Guthrie - Ithac
3512,Trip @ Hanshaw,1567,3,1780,Trip @ Hanshaw | Trphammr@Hansh | Triphammer @ Ha
3711,PleasGrove@Hans,1437,3,1671,PleasGrove@Hans | PlstGrv@Hanshaw | Pleasant Grove
342,Alumni Circ IC,1300,3,1516,Alumni Circ IC | IC-AlumniCircle | Ithaca College
323,Hudson @ Prsll,1193,3,1493,Hudson @ Prsll | Hudson@Pearsall | Hudson @ Pearsa
2631,TBurg P+R,1298,3,1487,TBurg P+R | Tburg Park&Ride | Trumansburg Par
4544,Dryden @ Kirk,1305,3,1457,Dryden @ Kirk | Rt 13 @ Kirk | Dryden Rd @ Kir
2620,TBurg School,1162,3,1298,TBurg School | TbrgCentralSc | Trumansburg Cen
1314,Highland@Wyck,1091,3,1256,Highland@Wyck | Highland@Wyckof | Highland @ Wyck
2546,Cayuga Med Ctr,787,3,1208,Cayuga Med Ctr | CayugaMedCtr | Cayuga Medical
3137,Lansing Twn Hl,1031,3,1205,Lansing Twn Hl | LansingTwnHl | Lansing Town Ha
1753,Maplewood Apts,982,3,1115,Maplewood Apts | Maplewd Apts | Maple @ Veteran
3936,Lab of Ornith,989,3,1086,Lab of Ornith | Lab of O | Lab of Ornithol
1372,Triphammer @ No,849,3,971,Triphammer @ No | Triphamr@Nrthwy | Tripham @ Nway
4717,Dryden Vill PO,827,3,949,Dryden Vill PO | DrydnVil@PostOf | Dryden Village
3915,Winston Court,793,3,905,Winston Court | Winston Ct | Winston Court A
324,Hudson @ Gdview,798,3,882,Hudson @ Gdview | Hudson@Grandvi | Hudson @ Grandv
1347,PleasGrove@Jess,786,3,862,PleasGrove@Jess | PlsntGrv@Jessup | Pleasant Grove
