set,routes,period,boards,cornell_card_share,cornell_override_share,other_fare_share,blank_share
old_cornell_only,"30,51,82",all,1402532,0.5929126750762193,0.07866415882133171,0.09839490293269601,0.230028263169753
old_cornell_only,"30,51,82",weekday_15_17,229507,0.7563124436291704,0.04780246354141704,0.14211331244798633,0.05377178038142628
old_cornell_only,"30,51,82",weekday_18_20,181043,0.6709621471142215,0.17187629458195014,0.07076219461674851,0.08639936368707986
old_cornell_only,"30,51,82",weekend,481719,0.30461949808913497,0.09427695399185002,0.04539368386964184,0.5557098640493732
old_no_cornell,"11,13,14,14S,15,17,21,36,65,67",all,478427,0.1822221571943055,0.023081891281219496,0.3930526496205273,0.4016433019039477
old_no_cornell,"11,13,14,14S,15,17,21,36,65,67",weekday_15_17,75486,0.3361285536390854,0.02240150491481864,0.5050472935378746,0.1364226479082214
old_no_cornell,"11,13,14,14S,15,17,21,36,65,67",weekday_18_20,30370,0.21583799802436615,0.04639446822522226,0.587948633519921,0.1498189002304906
old_no_cornell,"11,13,14,14S,15,17,21,36,65,67",weekend,223530,0.08138952265915089,0.024954144857513533,0.2253433543595938,0.6683129781237418
high_pre6_cornell_card_routes,"30,81,10,32,82,51,43,37,21,31,90,52,40,36,65,17",all,2697258,0.6138393138513261,0.06820889955651258,0.0972116868315897,0.22074009976057166
high_pre6_cornell_card_routes,"30,81,10,32,82,51,43,37,21,31,90,52,40,36,65,17",weekday_15_17,431863,0.7705707597085186,0.04210131453724908,0.13559161122856092,0.05173631452567134
high_pre6_cornell_card_routes,"30,81,10,32,82,51,43,37,21,31,90,52,40,36,65,17",weekday_18_20,281558,0.6911080487856853,0.16548632963723284,0.07057160513997116,0.07283401643711065
high_pre6_cornell_card_routes,"30,81,10,32,82,51,43,37,21,31,90,52,40,36,65,17",weekend,771247,0.2481332180222419,0.07629462416061261,0.04150291670502446,0.634069241112121
low_pre6_cornell_card_routes,"11,14,13,14S",all,258312,0.06148765833565611,0.02081204125243891,0.5054778717210195,0.41222242869088543
low_pre6_cornell_card_routes,"11,14,13,14S",weekday_15_17,31755,0.09840969925995906,0.030325932923948983,0.7361990237757834,0.13506534404030862
low_pre6_cornell_card_routes,"11,14,13,14S",weekday_18_20,18077,0.11749737235160701,0.030480721358632515,0.7376223930961996,0.11439951319356088
low_pre6_cornell_card_routes,"11,14,13,14S",weekend,130339,0.02704485994215085,0.018520933872440328,0.2954142658759082,0.6590199403095006
