hour,fare_group,boards,set
15.0,blank_or_got_fare,3821,old_cornell_only
15.0,cornell_card,45562,old_cornell_only
15.0,cornell_override,2551,old_cornell_only
15.0,other_fare,9605,old_cornell_only
16.0,blank_or_got_fare,4194,old_cornell_only
16.0,cornell_card,64881,old_cornell_only
16.0,cornell_override,3971,old_cornell_only
16.0,other_fare,11746,old_cornell_only
17.0,blank_or_got_fare,4326,old_cornell_only
17.0,cornell_card,63136,old_cornell_only
17.0,cornell_override,4449,old_cornell_only
17.0,other_fare,11265,old_cornell_only
18.0,blank_or_got_fare,7847,old_cornell_only
18.0,cornell_card,58674,old_cornell_only
18.0,cornell_override,14080,old_cornell_only
18.0,other_fare,6476,old_cornell_only
19.0,blank_or_got_fare,5164,old_cornell_only
19.0,cornell_card,41328,old_cornell_only
19.0,cornell_override,10977,old_cornell_only
19.0,other_fare,4320,old_cornell_only
20.0,blank_or_got_fare,2631,old_cornell_only
20.0,cornell_card,21471,old_cornell_only
20.0,cornell_override,6060,old_cornell_only
20.0,other_fare,2015,old_cornell_only
15.0,blank_or_got_fare,3394,old_no_cornell
15.0,cornell_card,2681,old_no_cornell
15.0,cornell_override,353,old_no_cornell
15.0,other_fare,11610,old_no_cornell
16.0,blank_or_got_fare,3429,old_no_cornell
16.0,cornell_card,15770,old_no_cornell
16.0,cornell_override,730,old_no_cornell
16.0,other_fare,13816,old_no_cornell
17.0,blank_or_got_fare,3475,old_no_cornell
17.0,cornell_card,6922,old_no_cornell
17.0,cornell_override,608,old_no_cornell
17.0,other_fare,12698,old_no_cornell
18.0,blank_or_got_fare,2146,old_no_cornell
18.0,cornell_card,3110,old_no_cornell
18.0,cornell_override,628,old_no_cornell
18.0,other_fare,7964,old_no_cornell
19.0,blank_or_got_fare,1770,old_no_cornell
19.0,cornell_card,2491,old_no_cornell
19.0,cornell_override,626,old_no_cornell
19.0,other_fare,6153,old_no_cornell
20.0,blank_or_got_fare,634,old_no_cornell
20.0,cornell_card,954,old_no_cornell
20.0,cornell_override,155,old_no_cornell
20.0,other_fare,3739,old_no_cornell
