route,boards,cornell_card,cornell_override,other_fare,blank_or_got_fare,unique_stops,cornell_card_share,cornell_override_share,cornell_any_observed_share,sample
30,1117523,638197,98263,112240,268823,49,0.5710817584962458,0.08792928646658726,0.659011044962833,all
81,379130,296065,15140,14482,53443,33,0.7809062854429879,0.039933532033867014,0.8208398174768549,all
10,252717,175091,6839,25033,45754,13,0.6928342770767301,0.027061891364648996,0.719896168441379,all
32,224243,142235,10863,26961,44184,81,0.6342895876348426,0.048442983727474215,0.6827325713623168,all
90,149477,82982,32707,4721,29067,28,0.5551489526816835,0.2188095827451715,0.773958535426855,all
82,144537,108430,3523,11926,20658,27,0.7501885330399829,0.024374381646222073,0.7745629146862049,all
51,140472,84952,8543,13836,33141,66,0.6047610911783131,0.060816390455037304,0.6655774816333504,all
11,134159,6302,1137,88184,38536,34,0.04697411280644608,0.008475018448259155,0.055449131254705235,all
15,97996,26779,3538,29266,38413,30,0.2732662557655415,0.03610351442916038,0.3093697701947018,all
14,81485,8065,836,30848,41736,62,0.09897527152236608,0.010259556973676138,0.10923482849604221,all
43,72752,26153,970,16871,28758,99,0.35948152628106445,0.013332966791290961,0.3728144930723554,all
92,71055,33299,17826,917,19013,21,0.4686369713602139,0.25087608190838084,0.7195130532685947,all
37,46349,32232,1018,5445,7654,73,0.6954195344020367,0.02196379641416212,0.7173833308161989,all
21,42346,16510,655,11832,13349,67,0.38988334199215985,0.015467812780427904,0.4053511547725877,all
31,35584,15639,3345,4068,12532,54,0.4394952787769784,0.0940029226618705,0.533498201438849,all
67,29299,9003,514,9225,10557,49,0.3072801119492133,0.017543260862145464,0.32482337281135876,all
13,27059,871,3373,6566,16249,34,0.03218892050704017,0.12465353486825086,0.15684245537529104,all
17,24736,4789,498,2012,17437,25,0.19360446313065977,0.020132600258732213,0.21373706338939197,all
52,22914,10371,721,3966,7856,66,0.4526053940822205,0.031465479619446624,0.4840708737016671,all
40,18740,7821,430,3671,6818,66,0.41734258271077906,0.02294557097118463,0.4402881536819637,all
14S,15609,645,30,4973,9961,41,0.04132231404958678,0.0019219680953296175,0.04324428214491639,all
36,12957,8642,196,1862,2257,53,0.666975380103419,0.015126958400864398,0.6821023385042834,all
65,12781,5574,266,3279,3662,70,0.43611610985055943,0.02081214302480244,0.4569282528753619,all
20,12098,4072,165,2896,4965,50,0.33658455943131094,0.013638617953380724,0.35022317738469166,all
22,4780,117,8,2713,1942,26,0.024476987447698745,0.0016736401673640166,0.02615062761506276,all
77,4140,483,92,935,2630,66,0.11666666666666667,0.022222222222222223,0.1388888888888889,all
30,519251,387513,23751,80112,27875,45,0.7462922555758198,0.045740884466279316,0.7920331400420991,weekday_pre6
81,294395,265435,10454,13846,4660,33,0.9016287640754769,0.035510113962533334,0.9371388780380101,weekday_pre6
10,215363,174825,6735,24904,8899,13,0.8117689668141695,0.03127278130412373,0.8430417481182934,weekday_pre6
32,130470,100145,3291,21020,6014,75,0.7675710891392657,0.025224189468843413,0.7927952786081092,weekday_pre6
