Stop_Id_vhist,Stop_Name_vhist,boards,routes,cornell_card,cornell_override,cornell_card_share,cornell_any_observed_share
4737,Lake @ Kimberly,97,43,97,0,1.0,1.0
1348,Pleasant Grove ,31,37,31,0,1.0,1.0
171,Aurora @ State/,20,65,20,0,1.0,1.0
3761,Sprngbrk@Farrel,20,37,20,0,1.0,1.0
1301,Thurston @ Stew,19,92,19,0,1.0,1.0
3116,EShore@Waterwag,19,36,19,0,1.0,1.0
1126,Lake St at Itha,18,36,18,0,1.0,1.0
1331,McClintHall Acr,11,"37,81",11,0,1.0,1.0
3903,Hanshaw@Muriel,11,31,11,0,1.0,1.0
3936,Lab of Ornithol,11,31,11,0,1.0,1.0
4737,LakeRd@KmbrlyDr,11,43,11,0,1.0,1.0
4572,Lower Creek @ C,10,31,10,0,1.0,1.0
5794,Boiceville@Vall,8,52,8,0,1.0,1.0
4509,Dryd@ForestHome,7,43,7,0,1.0,1.0
4728,South@Ferguson,7,43,7,0,1.0,1.0
3761,Springbrook @ F,6,37,6,0,1.0,1.0
1317,Highlnd@Lakelnd,5,31,5,0,1.0,1.0
3752,Warren @ Dutch ,5,37,5,0,1.0,1.0
5541,SnydrHil@Sugarb,5,51,5,0,1.0,1.0
1315,Highland @ Wyck,4,31,4,0,1.0,1.0
5753,Sltrvl@Boicevil,4,52,4,0,1.0,1.0
1130,LakeSt@Boynton,3,36,3,0,1.0,1.0
1772,East Hill Offic,3,82,3,0,1.0,1.0
2337,EnfdMnRd@Bostwk,3,20,3,0,1.0,1.0
2582,Tbrg@Colegrove,3,21,3,0,1.0,1.0
5546,SnydrHil@Rgncy,3,51,3,0,1.0,1.0
1120,Auden Ithaca,2,36,2,0,1.0,1.0
1351,A Lot-UpperStop,2,81,2,0,1.0,1.0
1367,Tripham @ Iroq,2,32,2,0,1.0,1.0
1371,Northwy@Tripham,2,31,2,0,1.0,1.0
1708,State@Giles,2,52,2,0,1.0,1.0
1758,Pine Tree Rd @ ,2,51,2,0,1.0,1.0
3547,Cinema@Sheraton,2,32,2,0,1.0,1.0
3760,Warren @ Farrel,2,37,2,0,1.0,1.0
5538,SnyderHill@Trai,2,51,2,0,1.0,1.0
5539,SnyderHill@Trai,2,51,2,0,1.0,1.0
5752,Sltrvl@Boicevil,2,52,2,0,1.0,1.0
6351,Danby Town Hall,2,65,2,0,1.0,1.0
3115,EShore@Waterwag,1,36,1,0,1.0,1.0
3140,East Shore Dr @,1,36,1,0,1.0,1.0
3314,Trphamr@Asbury,1,36,1,0,1.0,1.0
3605,Triphammer @ Cr,1,36,1,0,1.0,1.0
3613,Triphammer @ Tr,1,36,1,0,1.0,1.0
3725,Warren at BOCES,1,37,1,0,1.0,1.0
3937,Lab of Ornithol,1,31,1,0,1.0,1.0
4352,Groton High Sch,1,43,1,0,1.0,1.0
5525,PinTre@EquesCtr,1,51,1,0,1.0,1.0
5542,SnydrHil@Sugarb,1,51,1,0,1.0,1.0
5738,Sltrvl@BsmrHill,1,52,1,0,1.0,1.0
5744,Sltrvl@SnydrHil,1,52,1,0,1.0,1.0
996,Guthrie - Ithac,1,17,1,0,1.0,1.0
1353,A Lot - Lower S,358,81,351,2,0.9804469273743017,0.9860335195530726
3761,Sbrook @ Farrel,182,37,178,0,0.978021978021978,0.978021978021978
1137,East Shore @ Ja,39,36,38,0,0.9743589743589743,0.9743589743589743
1543,Corson/Mudd,116,"32,37,40,43,51,52,81,82",113,0,0.9741379310344828,0.9741379310344828
3726,Dewitt MS,32,37,31,0,0.96875,0.96875
5752,Slaterville Rd ,31,52,30,0,0.967741935483871,0.967741935483871
171,Aurora @ State,370,65,358,5,0.9675675675675676,0.981081081081081
171,Aurora@State,58,65,56,0,0.9655172413793104,0.9655172413793104
3903,Hanshaw @ Murie,29,31,28,0,0.9655172413793104,0.9655172413793104
1347,PlsntGrv@Jessup,23,"37,81,92",22,0,0.9565217391304348,0.9565217391304348
2338,Enfield Main Rd,22,20,21,0,0.9545454545454546,0.9545454545454546
1332,McClintHall,526,"37,81,90",502,3,0.9543726235741445,0.9600760456273765
1772,E Hill Office,86,82,82,1,0.9534883720930233,0.9651162790697675
3900,Warren@Hanshaw,21,37,20,0,0.9523809523809523,0.9523809523809523
5560,EastHts@Landmrk,20,51,19,0,0.95,0.95
5541,Snyder Hill @ S,39,51,37,0,0.9487179487179487,0.9487179487179487
1353,A Lot,18985,81,18002,395,0.9482222807479589,0.9690281801422176
5561,EastrnHts@Joann,19,51,18,1,0.9473684210526315,1.0
1332,McClintock Hall,5706,"37,81,90,92",5397,140,0.9458464773922187,0.9703820539782685
1564,Campus@JuddFall,91,81,86,0,0.945054945054945,0.945054945054945
4735,Keith @ Lake,145,43,137,1,0.9448275862068966,0.9517241379310345
1363,Trip@OakHill,18,32,17,0,0.9444444444444444,0.9444444444444444
5715,Slater @ Lois,18,52,17,1,0.9444444444444444,1.0
1542,Kennedy,188,"20,21,32,37,40,43,51,52",177,2,0.9414893617021277,0.9521276595744681
1564,Campus @ Judd F,1255,81,1178,32,0.9386454183266932,0.9641434262948207
1122,Lake @ Lincoln,2656,36,2475,24,0.9318524096385542,0.9408885542168675
1330,Appel Commons,43926,"37,81,90,92",40823,1430,0.9293584665118608,0.9619132176842872
5560,Eastern Heights,324,51,301,13,0.9290123456790124,0.9691358024691358
3759,Warren @ Farrel,42,37,39,0,0.9285714285714286,0.9285714285714286
1342,Northcrs@Jessup,830,81,768,4,0.9253012048192771,0.9301204819277108
1353,A Lot-LowerStop,2412,81,2230,98,0.9245439469320066,0.9651741293532339
5561,Eastern Heights,131,51,121,1,0.9236641221374046,0.9312977099236641
4322,FreevilParkRide,26,40,24,0,0.9230769230769231,0.9230769230769231
1329,HelenNewmanHall,13,"37,81",12,0,0.9230769230769231,0.9230769230769231
1562,Campus @ Tower,4111,81,3790,126,0.9219168085623936,0.9525662855752858
1553,Boyce Thompson ,166,"32,37,40,43,51,52,81",153,0,0.9216867469879518,0.9216867469879518
1542,Kennedy Hall,40474,"20,21,32,37,40,43,51,52",37220,878,0.9196027079112516,0.941295646587933
3911,Salem@Birchwood,12,31,11,1,0.9166666666666666,1.0
1544,Bradfield Hall,11946,"20,21,32,37,40,43,51,52",10905,275,0.9128578603716725,0.9358781181985601
1344,Robert Purcell ,768,30,700,7,0.9114583333333334,0.9205729166666666
6349,Danby Fire Stat,158,65,144,3,0.9113924050632911,0.930379746835443
1545,BradfieldHal-Ac,383,"32,37,40,43,51,52,81",349,9,0.9112271540469974,0.9347258485639687
5787,BDale P+R,534,52,486,2,0.9101123595505618,0.9138576779026217
1540,UrisHallAcross,4501,"20,21,31,32,37,40,43,51",4095,66,0.9097978227060654,0.9244612308375917
5721,Rt79@ParkLn WB,11,52,10,0,0.9090909090909091,0.9090909090909091
1545,Bradfield Hall ,3530,"21,32,37,40,43,51,52,81",3205,80,0.9079320113314447,0.9305949008498584
1344,RPCC-Jessup,2333,30,2113,36,0.9057008144020574,0.9211315902271753
6524,NewflDep@WDanby,21,67,19,0,0.9047619047619048,0.9047619047619048
1535,Campus@Gates,31,31,28,1,0.9032258064516129,0.9354838709677419
1543,Corson-Mudd,1618,"21,32,37,40,43,51,52,81",1457,41,0.9004944375772559,0.9258343634116193
5552,Skyvue@SnyHill,50,51,45,1,0.9,0.92
1772,EHOB,10,82,9,0,0.9,0.9
1119,Auden Ithaca,553,36,497,6,0.8987341772151899,0.9095840867992767
1343,RPCC-Jessup,1810,"30,81,90",1625,61,0.8977900552486188,0.9314917127071823
1362,Triphammer @ Oa,172,32,154,1,0.8953488372093024,0.9011627906976745
1345,Jessup@PleasGrv,1140,"30,81,90",1020,30,0.8947368421052632,0.9210526315789473
1372,Triphamr@Nrthwy,95,"31,32",85,6,0.8947368421052632,0.9578947368421052
1368,Tripham @ Iroq,19,32,17,0,0.8947368421052632,0.8947368421052632
1536,Hoy @ Hoy Field,512,82,458,14,0.89453125,0.921875
1771,EHOB,198,82,177,3,0.8939393939393939,0.9090909090909091
1345,Jessup @ Pleasa,300,"30,81",268,4,0.8933333333333333,0.9066666666666666
2337,Enfield Main Rd,28,20,25,0,0.8928571428571429,0.8928571428571429
1540,Uris Hall Acros,36818,"20,21,31,32,37,40,43,51",32824,1135,0.8915204519528491,0.9223477646803194
1525,Rockefeller Hl,5151,"30,31,32,36,37,81,90",4589,131,0.8908949718501262,0.9163269268103281
1771,E Hill Office,2124,82,1892,26,0.8907721280602636,0.9030131826741996
1546,Dairy Bar Acros,28215,"20,21,32,37,40,43,51,52",25100,700,0.8895977317029948,0.9144072301967039
1553,BTI,641,"32,37,40,43,51,52,81",570,13,0.8892355694227769,0.9095163806552262
4728,South @ Ferguso,9,43,8,0,0.8888888888888888,0.8888888888888888
1556,Vet Medical Cen,170,"40,43",151,6,0.888235294117647,0.9235294117647059
1346,Jessup@PleasGrv,1619,30,1438,19,0.8882025941939469,0.8999382334774553
1754,Maplewood Apts,26304,"51,82",23359,358,0.8880398418491484,0.9016499391727494
1344,RPCC,24735,30,21938,848,0.8869213664847382,0.921204770568021
1543,Corson/Mudd Hal,16783,"20,21,32,37,40,43,51,52",14882,429,0.8867306202705119,0.9122922004409224
1553,Boyce Thomp,7227,"32,37,40,43,51,52,81,82",6404,160,0.8861214888612149,0.9082606890826069
1343,Robert Purcell ,446,"30,81,90",395,9,0.8856502242152466,0.905829596412556
1769,CISER,43,82,38,0,0.8837209302325582,0.8837209302325582
1327,Cradit Farm @ T,1417,"37,81,92",1250,51,0.8821453775582216,0.918136908962597
5787,Brktndale Pk/Ri,59,52,52,3,0.8813559322033898,0.9322033898305084
5545,Regency @ Snyde,109,51,96,0,0.8807339449541285,0.8807339449541285
1314,Highland @ Wyck,25,31,22,0,0.88,0.88
1755,Dryden@Pine Tre,25,"32,82",22,1,0.88,0.92
3309,Asbury @ Armstr,33,37,29,0,0.8787878787878788,0.8787878787878788
3516,Tripham@Spruce,115,"30,32",101,2,0.8782608695652174,0.8956521739130435
5559,Eastern Heights,228,51,200,13,0.8771929824561403,0.9342105263157895
1349,Hasbrouck Apts,11933,"81,92",10464,407,0.8768960026816391,0.9110031006452695
3548,Cinema@Sheraton,276,32,242,13,0.8768115942028986,0.9239130434782609
