,value
total_rows,3174938
direction_nonmissing_rows,2761859
direction_missing_rows,413079
direction_unique_values,181
direction_min,0.0
direction_max,360.0
direction_all_integer,True
direction_all_between_0_and_359,False
stop_id_nonmissing_rows_among_direction_rows,2761859
previous_stop_id_nonmissing_rows_among_direction_rows,2761859
rows_direction_equals_stop_id,1996
rows_direction_equals_previous_stop_id,23183
rows_direction_equals_nonzero_stop_id,71
rows_direction_equals_nonzero_previous_stop_id,0
share_direction_equals_stop_id_when_both_present,0.0007227016295907937
share_direction_equals_previous_stop_id_when_both_present,0.008393983907216117
share_direction_equals_nonzero_stop_id_when_both_nonzero,2.662491679713501e-05
share_direction_equals_nonzero_previous_stop_id_when_both_nonzero,0.0
direction_values_that_are_observed_stop_ids,20
direction_values_that_are_gtfs_stop_ids,19
observed_stop_id_unique_values,644
gtfs_stop_id_unique_values,678
