normalized_route,Inbound_Outbound_vhist,rows,direction_min,direction_max,direction_unique
10,4,217292,0.0,360.0,177
11,3,50589,0.0,360.0,181
11,7,61690,0.0,340.0,146
13,3,6520,0.0,356.0,119
13,7,17243,0.0,360.0,113
14,3,28228,0.0,360.0,180
14,7,39575,0.0,360.0,175
14S,3,3524,0.0,360.0,142
14S,6,703,4.0,358.0,67
14S,7,9637,0.0,360.0,144
14S,8,384,0.0,358.0,80
15,3,33263,0.0,360.0,125
15,7,55010,0.0,360.0,139
17,3,19118,0.0,360.0,163
17,7,1740,0.0,360.0,108
20,3,3366,0.0,360.0,58
20,7,7125,0.0,358.0,96
21,3,15892,0.0,360.0,152
21,7,20183,0.0,358.0,122
22,3,1492,26.0,340.0,73
22,7,1540,8.0,356.0,43
30,3,458222,0.0,358.0,171
30,7,534027,0.0,360.0,173
31,3,15487,0.0,360.0,93
31,7,15320,0.0,360.0,151
32,3,99486,0.0,360.0,164
32,7,92565,0.0,360.0,147
36,3,6191,0.0,356.0,111
36,7,4620,0.0,360.0,77
37,3,21010,0.0,358.0,118
37,7,18283,0.0,360.0,112
40,3,8884,2.0,358.0,91
40,7,6742,0.0,360.0,81
43,3,26623,0.0,360.0,129
43,7,36063,0.0,360.0,126
51,3,47133,0.0,360.0,154
51,7,76112,0.0,360.0,137
52,3,8404,0.0,358.0,89
52,7,10906,0.0,360.0,94
65,3,3719,0.0,360.0,124
65,7,6041,0.0,322.0,108
67,3,9450,0.0,358.0,86
67,7,15610,0.0,354.0,122
77,3,1738,0.0,360.0,82
77,7,2028,0.0,360.0,98
81,6,154606,0.0,360.0,157
81,8,172253,0.0,356.0,126
82,4,129414,0.0,360.0,181
90,3,50738,0.0,360.0,142
90,7,79056,0.0,360.0,116
92,6,37850,0.0,360.0,111
92,8,19164,0.0,342.0,78
