source_month,event_time,ts,ts_event,ts_vhist,bus,tr_seq,route_clean,stop_id_clean,stop_name_raw_clean,text_clean,description_clean,media_text_clean,corrected_rider_num
01,2025-01-10 17:01:04,2025-01-10 16:59:42,2025-01-10 17:01:04,,1903,11.0,82,1544,Bradfield Hall,Special card,Cornell Card,Cornell,1
01,2025-01-10 17:01:04,2025-01-10 16:59:42,2025-01-10 17:01:04,,1903,11.0,82,1544,Bradfield Hall,Special card,Cornell Card,Cornell,1
01,2025-01-10 17:01:57,2025-01-10 17:00:45,2025-01-10 17:01:57,,1903,13.0,82,1542,Kennedy Hall,Special card,Cornell Card,Cornell,1
01,2025-01-10 17:01:57,2025-01-10 17:00:45,2025-01-10 17:01:57,,1903,13.0,82,1542,Kennedy Hall,Special card,Cornell Card,Cornell,1
01,2025-01-10 17:03:59,2025-01-10 17:00:47,2025-01-10 17:03:59,,1903,14.0,82,1534,Sage Hall,Special card,Cornell Card,Cornell,1
01,2025-01-10 17:03:59,2025-01-10 17:00:47,2025-01-10 17:03:59,,1903,14.0,82,1534,Sage Hall,Special card,Cornell Card,Cornell,1
01,2025-01-10 17:25:03,2025-01-10 17:24:38,2025-01-10 17:25:03,,1903,22.0,82,1555,Vet School,Special card,Cornell Card,Cornell,1
01,2025-01-10 17:25:03,2025-01-10 17:24:38,2025-01-10 17:25:03,,1903,22.0,82,1555,Vet School,Special card,Cornell Card,Cornell,1
01,2025-01-10 17:30:29,2025-01-10 17:26:57,2025-01-10 17:30:29,,1903,26.0,82,1534,Sage Hall,Special card,Cornell Card,Cornell,1
01,2025-01-10 17:30:29,2025-01-10 17:26:57,2025-01-10 17:30:29,,1903,26.0,82,1534,Sage Hall,Special card,Cornell Card,Cornell,1
01,2025-01-10 18:02:14,2025-01-10 17:58:44,2025-01-10 18:02:14,,1903,39.0,82,1534,Sage Hall,Special card,Cornell Card,Cornell,1
01,2025-01-10 18:02:14,2025-01-10 17:58:44,2025-01-10 18:02:14,,1903,39.0,82,1534,Sage Hall,Special card,Cornell Card,Cornell,1
01,2025-01-10 18:27:37,2025-01-10 18:26:40,2025-01-10 18:27:37,,1903,47.0,82,1542,Kennedy Hall,Special card,Cornell Card,Cornell,1
01,2025-01-10 18:27:37,2025-01-10 18:26:40,2025-01-10 18:27:37,,1903,47.0,82,1542,Kennedy Hall,Special card,Cornell Card,Cornell,1
01,2025-01-10 18:48:19,2025-01-10 18:44:21,2025-01-10 18:48:19,,1903,55.0,82,1774,EHP,Special card,Cornell Card,Cornell,1
01,2025-01-10 18:48:19,2025-01-10 18:44:21,2025-01-10 18:48:19,,1903,55.0,82,1774,EHP,Special card,Cornell Card,Cornell,1
01,2025-01-10 18:58:27,2025-01-10 18:57:16,2025-01-10 18:58:27,,1903,56.0,82,1542,Kennedy Hall,Special card,Cornell Card,Cornell,1
01,2025-01-10 18:58:27,2025-01-10 18:57:16,2025-01-10 18:58:27,,1903,56.0,82,1542,Kennedy Hall,Special card,Cornell Card,Cornell,1
01,2025-01-10 18:59:30,2025-01-10 18:58:57,2025-01-10 18:59:30,,1903,58.0,82,1540,UrisHallAcross,Special card,Cornell Card,Cornell,1
01,2025-01-10 18:59:30,2025-01-10 18:58:57,2025-01-10 18:59:30,,1903,58.0,82,1540,UrisHallAcross,Special card,Cornell Card,Cornell,1
01,2025-01-10 20:28:08,2025-01-10 20:27:46,2025-01-10 20:28:08,,1903,72.0,82,1544,Bradfield Hall,Special card,Cornell Card,Cornell,1
01,2025-01-10 20:28:08,2025-01-10 20:27:46,2025-01-10 20:28:08,,1903,72.0,82,1544,Bradfield Hall,Special card,Cornell Card,Cornell,1
01,2025-01-14 18:06:22,2025-01-14 18:04:12,2025-01-14 18:06:22,,1603,7.0,30,3588,Ithaca Mall,Got fare,,,1
