source_month,rows,corrected_riders,routes,stop_ids,missing_stop_id_rows,cornell_override_rows,off_policy_cornell_override_rows
01,207377,207377,25,518,24135,12147,3719
02,314481,314481,25,524,50223,19627,2495
03,332924,332924,25,528,65964,25121,5134
04,311470,311470,25,520,55543,24245,7547
05,228954,228954,25,526,45479,16013,4185
06,128235,128235,25,498,35901,5932,1917
07,144311,144311,25,524,36202,6638,3127
08,263154,263154,26,550,54256,20721,10415
09,290337,290337,25,524,32696,24764,10881
10,389701,389701,25,533,44293,31513,8800
11,326178,326178,25,521,23750,15876,3612
12,237816,237816,25,528,16584,8899,2114
