route_clean,description_clean,rows,corrected_riders
30,Second Left Arrow 16,23635,23635
81,Second Left Arrow 16,10427,10427
10,Second Left Arrow 16,6735,6735
90,Second Left Arrow 16,4173,4173
32,Second Left Arrow 16,3281,3281
31,Second Left Arrow 16,2828,2828
51,Second Left Arrow 16,2707,2707
92,Second Left Arrow 16,2276,2276
82,Second Left Arrow 16,1902,1902
13,Second Left Arrow 16,1548,1548
37,Second Left Arrow 16,720,720
43,Second Left Arrow 16,618,618
15,Second Left Arrow 16,466,466
14,Second Left Arrow 16,422,422
21,Second Left Arrow 16,394,394
40,Second Left Arrow 16,326,326
52,Second Left Arrow 16,302,302
11,Second Left Arrow 16,264,264
65,Second Left Arrow 16,245,245
36,Second Left Arrow 16,188,188
17,Second Left Arrow 16,176,176
67,Second Left Arrow 16,154,154
20,Second Left Arrow 16,127,127
14S,Second Left Arrow 16,21,21
22,Second Left Arrow 16,8,8
77,Second Left Arrow 16,3,3
