,value
rows,3174938
corrected_riders_sum,3174938
missing_ts_rows,594977
missing_event_time_rows,0
missing_service_date_rows,0
missing_route_rows,0
missing_stop_id_rows,485026
missing_stop_name_rows,413542
non_revenue_rows,0
zero_corrected_rider_rows,0
excluded_text_rows_surviving_cleaned_files,0
empty_ttp_rows,3
dropfile_exception_rows,114162
fare_record_missing_description_rows,184418
apc_only_missing_fare_description_rows,594977
invalid_analysis_record_rows,3
off_policy_cornell_override_rows,63946
negative_amount_rows,0
amount_over_10_rows,90263
