route_clean,rows,corrected_riders,issue
30,206685,206685,apc_only_missing_fare_description
81,47698,47698,apc_only_missing_fare_description
10,36817,36817,apc_only_missing_fare_description
32,34567,34567,apc_only_missing_fare_description
11,33018,33018,apc_only_missing_fare_description
14,27016,27016,apc_only_missing_fare_description
51,26071,26071,apc_only_missing_fare_description
15,23367,23367,apc_only_missing_fare_description
90,20857,20857,apc_only_missing_fare_description
43,19437,19437,apc_only_missing_fare_description
82,17604,17604,apc_only_missing_fare_description
17,16511,16511,apc_only_missing_fare_description
13,14627,14627,apc_only_missing_fare_description
92,13336,13336,apc_only_missing_fare_description
31,10308,10308,apc_only_missing_fare_description
21,7929,7929,apc_only_missing_fare_description
14S,6223,6223,apc_only_missing_fare_description
67,6052,6052,apc_only_missing_fare_description
52,5802,5802,apc_only_missing_fare_description
37,5765,5765,apc_only_missing_fare_description
40,4361,4361,apc_only_missing_fare_description
20,3112,3112,apc_only_missing_fare_description
65,2170,2170,apc_only_missing_fare_description
77,2079,2079,apc_only_missing_fare_description
22,1844,1844,apc_only_missing_fare_description
36,1721,1721,apc_only_missing_fare_description
30,32540,32540,dropfile_exception
10,22221,22221,dropfile_exception
82,15500,15500,dropfile_exception
32,12298,12298,dropfile_exception
81,11053,11053,dropfile_exception
51,6542,6542,dropfile_exception
90,2356,2356,dropfile_exception
37,2337,2337,dropfile_exception
15,1669,1669,dropfile_exception
43,1590,1590,dropfile_exception
31,963,963,dropfile_exception
21,950,950,dropfile_exception
36,723,723,dropfile_exception
11,450,450,dropfile_exception
92,445,445,dropfile_exception
52,443,443,dropfile_exception
65,419,419,dropfile_exception
67,379,379,dropfile_exception
40,368,368,dropfile_exception
17,319,319,dropfile_exception
14,286,286,dropfile_exception
20,186,186,dropfile_exception
13,60,60,dropfile_exception
77,55,55,dropfile_exception
14S,10,10,dropfile_exception
30,3,3,empty_ttp_record
30,62138,62138,fare_record_missing_description
15,15046,15046,fare_record_missing_description
14,14720,14720,fare_record_missing_description
32,9617,9617,fare_record_missing_description
43,9321,9321,fare_record_missing_description
10,8937,8937,fare_record_missing_description
90,8210,8210,fare_record_missing_description
51,7070,7070,fare_record_missing_description
81,5745,5745,fare_record_missing_description
92,5677,5677,fare_record_missing_description
11,5518,5518,fare_record_missing_description
21,5420,5420,fare_record_missing_description
67,4505,4505,fare_record_missing_description
14S,3738,3738,fare_record_missing_description
82,3054,3054,fare_record_missing_description
40,2457,2457,fare_record_missing_description
31,2224,2224,fare_record_missing_description
52,2054,2054,fare_record_missing_description
37,1889,1889,fare_record_missing_description
20,1853,1853,fare_record_missing_description
13,1622,1622,fare_record_missing_description
65,1492,1492,fare_record_missing_description
17,926,926,fare_record_missing_description
77,551,551,fare_record_missing_description
36,536,536,fare_record_missing_description
22,98,98,fare_record_missing_description
30,3,3,invalid_analysis_record
30,23635,23635,off_policy_cornell_override
81,10427,10427,off_policy_cornell_override
10,6735,6735,off_policy_cornell_override
90,4173,4173,off_policy_cornell_override
32,3281,3281,off_policy_cornell_override
31,2828,2828,off_policy_cornell_override
51,2707,2707,off_policy_cornell_override
92,2276,2276,off_policy_cornell_override
82,1902,1902,off_policy_cornell_override
13,1548,1548,off_policy_cornell_override
37,720,720,off_policy_cornell_override
43,618,618,off_policy_cornell_override
15,466,466,off_policy_cornell_override
14,422,422,off_policy_cornell_override
21,394,394,off_policy_cornell_override
40,326,326,off_policy_cornell_override
52,302,302,off_policy_cornell_override
11,264,264,off_policy_cornell_override
65,245,245,off_policy_cornell_override
36,188,188,off_policy_cornell_override
17,176,176,off_policy_cornell_override
67,154,154,off_policy_cornell_override
20,127,127,off_policy_cornell_override
14S,21,21,off_policy_cornell_override
22,8,8,off_policy_cornell_override
77,3,3,off_policy_cornell_override
