route_clean,stop_id_clean,canonical_stop_name,boards,rows,pre_boards,post_boards,pre_cornell_card_rows,pre_rows,post_rows,pre_cornell_card_share,has_balanced_near6_sample,didisc_group
11,165,Green Commons,7413,7413,3410,4003,132,3410,4003,0.03870967741935484,True,control_low_cornell_exposure
43,165,Green Commons,7171,7171,4822,2349,416,4822,2349,0.08627125673994193,True,control_low_cornell_exposure
14,165,Green Commons,6890,6890,3793,3097,190,3793,3097,0.05009227524387029,True,control_low_cornell_exposure
11,339,Roy Park IC,3039,3039,2250,789,15,2250,789,0.006666666666666667,True,control_low_cornell_exposure
21,100,Seneca Commons,2973,2973,2103,870,211,2103,870,0.10033285782215882,True,control_low_cornell_exposure
43,4783,TC3,2697,2697,2354,343,27,2354,343,0.011469838572642312,True,control_low_cornell_exposure
11,340,Roy Park IC,2611,2611,1566,1045,1,1566,1045,0.0006385696040868455,True,control_low_cornell_exposure
52,165,Green Commons,2559,2559,1277,1282,127,1277,1282,0.09945184025058731,True,control_low_cornell_exposure
13,165,Green Commons,2421,2421,1537,884,15,1537,884,0.009759271307742356,True,control_low_cornell_exposure
37,165,Green Commons,2318,2318,1478,840,219,1478,840,0.14817320703653586,True,control_low_cornell_exposure
11,349,Towers IC,2158,2158,1392,766,10,1392,766,0.007183908045977011,True,control_low_cornell_exposure
11,337,Ithaca College,1784,1784,1161,623,4,1161,623,0.0034453057708871662,True,control_low_cornell_exposure
14,2545,Cayuga Med ER,1589,1589,1195,394,112,1195,394,0.09372384937238494,True,control_low_cornell_exposure
13,100,Seneca Commons,1394,1394,1034,360,58,1034,360,0.05609284332688588,True,control_low_cornell_exposure
14,664,State @ Meadow,1309,1309,658,651,13,658,651,0.019756838905775075,True,control_low_cornell_exposure
32,3785,Airport,1219,1219,892,327,112,892,327,0.12556053811659193,True,control_low_cornell_exposure
14,679,State/MLK at In,1128,1128,474,654,18,474,654,0.0379746835443038,True,control_low_cornell_exposure
11,351,Ithaca College,1003,1003,767,236,1,767,236,0.001303780964797914,True,control_low_cornell_exposure
14,709,Chestnut @ Elm,948,948,890,58,10,890,58,0.011235955056179775,True,control_low_cornell_exposure
14,713,Elm @ W Vill,946,946,679,267,18,679,267,0.026509572901325478,True,control_low_cornell_exposure
14,112,Albany at Salva,833,833,556,277,36,556,277,0.06474820143884892,True,control_low_cornell_exposure
15,535,Titus Towers,810,810,687,123,59,687,123,0.0858806404657933,True,control_low_cornell_exposure
11,342,Alumni Circ IC,710,710,520,190,1,520,190,0.0019230769230769232,True,control_low_cornell_exposure
14,2542,Overlook Apts,681,681,501,180,4,501,180,0.007984031936127744,True,control_low_cornell_exposure
13,1125,Lake @ IHS,640,640,536,104,19,536,104,0.03544776119402985,True,control_low_cornell_exposure
11,372,College Circle,564,564,243,321,0,243,321,0.0,True,control_low_cornell_exposure
11,338,Ithaca College,503,503,169,334,0,169,334,0.0,True,control_low_cornell_exposure
43,4718,Dryden Vill Lib,503,503,426,77,41,426,77,0.09624413145539906,True,control_low_cornell_exposure
67,564,Elmira Rd @ Wal,503,503,345,158,4,345,158,0.011594202898550725,True,control_low_cornell_exposure
21,676,Buffalo @ Taugh,493,493,424,69,8,424,69,0.018867924528301886,True,control_low_cornell_exposure
14,2546,Cayuga Med Ctr,465,465,330,135,16,330,135,0.048484848484848485,True,control_low_cornell_exposure
11,373,College Circle,454,454,269,185,1,269,185,0.0037174721189591076,True,control_low_cornell_exposure
67,532,Meadow @ Wood,450,450,270,180,24,270,180,0.08888888888888889,True,control_low_cornell_exposure
14,2543,Cayuga Meadows,389,389,96,293,0,96,293,0.0,True,control_low_cornell_exposure
11,374,College Circle,363,363,232,131,1,232,131,0.004310344827586207,True,control_low_cornell_exposure
11,343,Alumni Circ IC,356,356,244,112,7,244,112,0.028688524590163935,True,control_low_cornell_exposure
14,669,State/MLK @ Inl,306,306,194,112,7,194,112,0.03608247422680412,True,control_low_cornell_exposure
11,376,College Circle,300,300,159,141,0,159,141,0.0,True,control_low_cornell_exposure
11,348,Ithaca College,298,298,236,62,1,236,62,0.00423728813559322,True,control_low_cornell_exposure
11,352,Ithaca College,292,292,183,109,1,183,109,0.00546448087431694,True,control_low_cornell_exposure
