corrected_route_normalized,rows
30,125447
81,52320
10,35515
32,32241
11,21945
90,19714
51,17255
82,15148
92,14098
14,13714
43,10095
15,9732
37,7064
9,6997
21,6285
31,4820
67,4252
17,4026
52,3626
13,3369
40,3119
65,3033
510,2751
0,2266
36,2153
22,1750
20,1615
14S,1371
506,1304
830,1223
536,1146
501,1086
509,1057
531,1016
507,891
999,848
542,708
523,671
525,499
517,443
602,438
813,400
77,384
1720,329
505,324
607,272
809,262
534,249
407,248
803,220
815,204
405,197
513,191
912,190
518,189
403,187
605,185
1114,180
206,179
527,168
563,161
827,155
529,149
3215,140
219,137
209,132
541,132
530,125
804,124
415,107
2182,105
351,98
807,97
836,85
308,84
99,83
1710,82
204,81
207,76
520,76
504,75
202,73
820,73
234,68
227,65
217,61
835,51
404,49
102,47
673736,46
1030,45
215,45
211,42
229,41
106,38
1411,37
516,35
237,35
603,34
528,33
811,31
508,31
3210,30
544,27
3,27
834,21
307,20
705,18
1,17
50,16
231,15
502,11
242,11
601,11
402,10
419,10
213,9
522,8
902,8
4331,8
674310,8
205,7
918,7
614,7
810000,7
176551,6
824,6
917,5
670,5
2,5
616,4
1721,4
512,3
1732,3
618,3
111,3
540,3
535,3
104,3
1765,2
222,2
220,2
111111,2
115,2
171114,2
1151,2
840,2
414,2
235,2
232,1
238,1
243,1
116,1
29,1
221,1
230,1
819,1
526,1
1067,1
6,1
416,1
413,1
624,1
408,1
417,1
1752,1
144,1
515,1
