corrected_route,rows,corrected_route_normalized,is_canonical_route,through_run_parse
1720,329,1720,False,17 + 20
1114,180,1114,False,11 + 14
3215,140,3215,False,32 + 15
2182,105,2182,False,21 + 82
1710,82,1710,False,17 + 10
673736,46,673736,False,67 + 37 + 36
1030,45,1030,False,10 + 30
1411,37,1411,False,14 + 11
3210,30,3210,False,32 + 10
674310,8,674310,False,67 + 43 + 10
4331,8,4331,False,43 + 31
176551,6,176551,False,17 + 65 + 51
1721,4,1721,False,17 + 21
1732,3,1732,False,17 + 32
1765,2,1765,False,17 + 65
111111,2,111111,False,11 + 11 + 11
171114,2,171114,False,17 + 11 + 14
1151,2,1151,False,11 + 51
1067,1,1067,False,10 + 67
1752,1,1752,False,17 + 52
