ts,service_day,bus,tr_seq,route,corrected_route,route_provenance,correction_source,service_category,has_swiftly,Route_vhist,Route_vhist_normalized,Route_Name_vhist,swiftly_route_id,swiftly_trip_id,through_run_parse
2025-01-24 14:01:17,2025-01-24,1901,56.0,1114,1114,Farebox,fare_reclaim,revenue,False,,,,,,11 + 14
2025-01-24 14:01:20,2025-01-24,1901,57.0,1114,1114,Farebox,fare_reclaim,revenue,False,,,,,,11 + 14
2025-01-26 08:13:25,2025-01-26,1114,12.0,1411,1411,Farebox,fare_reclaim,revenue,False,,,,,,14 + 11
2025-01-26 08:17:45,2025-01-26,1114,13.0,1411,1411,Farebox,fare_reclaim,revenue,False,,,,,,14 + 11
2025-01-26 08:28:57,2025-01-26,1114,14.0,1411,1411,Farebox,fare_reclaim,revenue,False,,,,,,14 + 11
2025-01-26 08:34:48,2025-01-26,1114,15.0,1411,1411,Farebox,fare_reclaim,revenue,False,,,,,,14 + 11
2025-01-26 08:40:58,2025-01-26,1114,16.0,1411,1411,Farebox,fare_reclaim,revenue,False,,,,,,14 + 11
2025-01-26 08:50:04,2025-01-26,1114,17.0,1411,1411,Farebox,fare_reclaim,revenue,False,,,,,,14 + 11
2025-01-26 08:50:19,2025-01-26,1114,18.0,1411,1411,Farebox,fare_reclaim,revenue,False,,,,,,14 + 11
2025-01-26 10:03:01,2025-01-26,1114,29.0,1411,1411,Farebox,fare_reclaim,revenue,False,,,,,,14 + 11
2025-01-26 10:07:41,2025-01-26,1114,30.0,1411,1411,Farebox,fare_reclaim,revenue,False,,,,,,14 + 11
2025-01-26 10:14:20,2025-01-26,1114,31.0,1411,1411,Farebox,fare_reclaim,revenue,False,,,,,,14 + 11
2025-01-26 10:29:51,2025-01-26,1114,32.0,1411,1411,Farebox,fare_reclaim,revenue,False,,,,,,14 + 11
2025-01-26 10:30:37,2025-01-26,1114,34.0,1411,1411,Farebox,fare_reclaim,revenue,False,,,,,,14 + 11
2025-01-26 10:33:15,2025-01-26,1114,35.0,1411,1411,Farebox,fare_reclaim,revenue,False,,,,,,14 + 11
2025-01-26 10:34:50,2025-01-26,1114,36.0,1411,1411,Farebox,fare_reclaim,revenue,False,,,,,,14 + 11
2025-01-26 10:45:01,2025-01-26,1114,37.0,1411,1411,Farebox,fare_reclaim,revenue,False,,,,,,14 + 11
2025-01-26 10:50:39,2025-01-26,1114,38.0,1411,1411,Farebox,fare_reclaim,revenue,False,,,,,,14 + 11
2025-01-26 08:51:21,2025-01-26,1114,19.0,1411,1411,Farebox,fare_reclaim,revenue,False,,,,,,14 + 11
2025-01-26 10:30:06,2025-01-26,1114,33.0,1411,1411,Farebox,fare_reclaim,revenue,False,,,,,,14 + 11
2025-01-26 09:00:19,2025-01-26,1114,20.0,1411,1411,Farebox,fare_reclaim,revenue,False,,,,,,14 + 11
